sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_24,68167557.318668,119523017.537486,76690843.0,76691195.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_17,5412.716306,5720.653934,58360623.0,58360782.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_15,4557.499113,4610.4505,51491720.0,51491817.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_19,7211.332438,8339.32406,65225608.0,65225801.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_18,6098.649717,6681.186332,61793031.0,61793206.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_16,4926.244184,5075.733318,54925482.0,54925604.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_2,9591.882349,12107.044863,68657689.0,68657951.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_21,857066.20365,1425058.419463,72033815.0,72034134.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_22,23224742.589763,39306780.25626,73817912.0,73818232.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_23
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_195,8113.273031,9741.753058,66942510.0,66942712.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_185,6577.522556,7383.035298,63509287.0,63509440.0
2b,same,coh,ns_l_scop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_175,5722.950205,6148.578855,60075354.0,60075493.0
