sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,ns_m_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_13,8161.442975,8646.7125,71395996.0,71396203.0
2b,mixed,coh,ns_m_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_09,6872.602522,7059.545551,49420588.0,49420746.0
2b,mixed,coh,ns_m_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_19,42153170.574093,101176046.531821,95398036.0,95399194.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_04,5920.642796,6092.841293,21967700.0,21967760.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_08,6582.788174,6820.305514,43930130.0,43930269.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_12,7830.21105,8243.82351,65898595.0,65898837.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_1,7090.790725,7388.798857,54907186.0,54907367.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_14,9031.547028,9725.446194,76891268.0,76891606.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_18,30797.995836,51838.337016,98866128.0,98867038.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_06,6210.065602,6409.516656,32944975.0,32945068.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_02,5687.336709,5836.572632,10983049.0,10983075.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_16,11413.848393,13079.031961,87881614.0,87882084.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_2,37903810.226756,85559978.391451,105167955.0,105169322.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_26,11079272.68415,24671069.239173,51882769.0,51884142.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_28,20178117.022456,46820200.537477,53227598.0,53229028.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_22,67279327.560187,160234018.20269,111078265.0,111079722.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_24,31756.568256,56983.249409,56113642.0,56114747.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_23,77982447.805652,190542824.743906,114044570.0,114046089.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_11,7421.816678,7767.293677,60397418.0,60397596.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_03,5799.018955,5959.484734,16476519.0,16476565.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_15,9979.943326,10991.852623,82384807.0,82385174.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_17,14044.16816,17433.347516,93375386.0,93375948.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_07,6383.911027,6600.80106,38433435.0,38433538.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_05,6057.081632,6242.154705,27456617.0,27456697.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_13,8347.857513,8866.584596,71395987.0,71396203.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_19,18980556.674496,41650768.677801,102226149.0,102227573.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_09,6813.890157,7077.535171,49420582.0,49420746.0
2b,mixed,coh,ns_l_latop_64r,9evns_12vcs_64cpus_4xdirs_4.0GHz,0_01,5587.362099,5725.412577,5492874.0,5492892.0
