sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_01,6304.294391,6433.76327,5492874.0,5492892.0
2b,mixed,coh,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_06,7295.294768,7477.66197,32944953.0,32945068.0
2b,mixed,coh,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_02,6448.171263,6591.015948,10983043.0,10983075.0
2b,mixed,coh,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_03,6614.233071,6767.225191,16476518.0,16476565.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_03,6770.086635,6929.658192,16476515.0,16476565.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_06,7702.971645,7903.023002,32944949.0,32945068.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_01,6388.951556,6521.239025,5492873.0,5492892.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_08,9009.478737,9300.951215,43930090.0,43930269.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_02,6565.679357,6712.935009,10983040.0,10983075.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_07,8226.145685,8454.18474,38433403.0,38433538.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_12,51381102.989119,126139129.72436,59294832.0,59296631.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_14,68526784.519823,186291326.485241,64865121.0,64867103.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_04,7016.781489,7187.046584,21967687.0,21967760.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_09,10422.748422,10985.394778,49420508.0,49420746.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_05,7317.406579,7500.595533,27456593.0,27456697.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_19,65222746.931093,217512826.884815,79490764.0,79492638.0
2b,mixed,mem,bdonut_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_1,849140.280296,1807878.980372,54837871.0,54838466.0
