bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC
ferret,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,13402326145.0,116309.0,948661514.0,6580.323931,468363731.0,50959410.0,0.43045790228846764
ferret,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,13284311996.0,116604.0,951165803.0,6206.214087,458951946.0,50510687.0,0.44914112566709896
freqmine,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,27916315418.0,199572.0,215884758.0,6423.013155,119690195.0,106145686.0,0.3739872577030161
freqmine,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,28132971399.0,200931.0,215928148.0,6438.879523,120596983.0,106969473.0,0.3751379075203264
freqmine,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,27536013736.0,190161.0,215815424.0,6114.072664,117673366.0,104699672.0,0.3852197940427199
freqmine,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,28063054164.0,201650.0,215919693.0,6354.947452,120343873.0,106703628.0,0.3740637499616127
freqmine,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,27883526682.0,194917.0,215866017.0,6391.467439,119512319.0,106021014.0,0.3746561134428164
freqmine,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,27490404539.0,191446.0,215798628.0,6049.270614,117526229.0,104526253.0,0.38351744163633145
blackscholes,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,19167934177.0,312138.0,2292454640.0,6529.845652,87341090.0,72881879.0,0.3126334693807657
blackscholes,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,19329656296.0,313466.0,2292391627.0,6644.907499,87902481.0,73496792.0,0.3101383396880385
blackscholes,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,18808668024.0,297283.0,2292272050.0,6021.428867,85226594.0,71515848.0,0.3172897177894745
blackscholes,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,19180138955.0,314384.0,2292354265.0,6555.235317,87261905.0,72928285.0,0.30889877597999504
blackscholes,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,18909837023.0,304358.0,2292319190.0,6298.871574,86088991.0,71900521.0,0.3097005650789046
blackscholes,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,19079271617.0,299638.0,2292315131.0,6227.671221,86352225.0,72544759.0,0.31797180742974557
dedup,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,8783251885.0,102929.0,5047193553.0,6824.718464,438706850.0,33396390.0,0.5111406576166774
dedup,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,8783059369.0,102520.0,5047178184.0,6724.524009,438690844.0,33395658.0,0.5114843450641585
dedup,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,8782856333.0,98360.0,5047245544.0,6284.363382,438527161.0,33394886.0,0.5254919759408221
dedup,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,8783214802.0,104195.0,5047164133.0,6802.302859,438705944.0,33396249.0,0.5101684391488293
dedup,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,8783250307.0,101312.0,5047200078.0,6690.650675,438688493.0,33396384.0,0.5120170937477705
dedup,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,8782829507.0,98817.0,5047226921.0,6251.910074,438538640.0,33394784.0,0.5238152427378194
x264,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,1779028784.0,122686.0,521153425.0,6239.702465,9732378.0,3047586.0,0.16788981835387332
x264,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,1777916557.0,118769.0,521149844.0,6246.161169,9710588.0,3029333.0,0.16766292338751954
x264,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,1720510232.0,115142.0,521144873.0,5699.666379,9372464.0,2941974.0,0.1726438247278597
x264,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,1794142868.0,124545.0,521173218.0,6317.324431,9864646.0,3064499.0,0.17178893507457796
x264,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,1770437363.0,117384.0,521150520.0,6160.548177,9676215.0,3022200.0,0.1681554256757052
x264,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,1734391372.0,116479.0,521168872.0,5791.467571,9518552.0,2969459.0,0.17721524979903763
canneal,kite_medium_noci_nndbt_injej_none,,289492702467.0,2038280.0,2001502931.0,6489.650138,1229120500.0,1100732709.0,0.39488217666897457
canneal,kite_large_noci_nndbt_injej_none,,296540830788.0,2175273.0,2002722390.0,6662.089649,1261827324.0,1127531676.0,0.38647261907649816
canneal,ft_x_noci_nndbt_injej_none,,288965171544.0,2079577.0,2001358821.0,6452.523397,1227251722.0,1098726888.0,0.393652255306651
canneal,dbl_bfly_x_noci_nndbt_injej_none,,304867018129.0,2215942.0,2004206774.0,7024.147941,1297908712.0,1159190183.0,0.38434914690390987
canneal,butter_donut_x_noci_nndbt_injej_none,,301457054546.0,2168652.0,2003610247.0,6872.663209,1282830278.0,1146224542.0,0.3859792046326289
canneal,kite_small_noci_nndbt_injej_none,,275885096143.0,1873990.0,1999043515.0,5917.878944,1166953797.0,1048992761.0,0.409602173178287
canneal,lpbt_m_latop_noci_nndbt_injej_none,,293847194256.0,2119221.0,2002254717.0,6694.414167,1247987598.0,1117289712.0,0.39350007383830454
canneal,lpbt_s_latop_noci_nndbt_injej_none,,279515719882.0,1943884.0,1999680755.0,6058.361969,1183921150.0,1062797414.0,0.4041168286490382
canneal,lpbt_s_power_noci_nndbt_injej_none,,275111837745.0,1865165.0,1998940729.0,5845.497602,1165023920.0,1046052615.0,0.4051923181583358
bodytrack,lpbt_m_latop_noci_nndbt_injej_none,,40683607286.0,50118695.0,5758170991.0,8187.290948,3178157153.0,93495826.0,0.9157683556511919
bodytrack,kite_medium_noci_nndbt_injej_none,,44449648410.0,49019163.0,5776772468.0,7890.200971,3131855880.0,86206748.0,0.935256842002539
bodytrack,kite_small_noci_nndbt_injej_none,,41058310224.0,46130924.0,5769846388.0,7056.905405,2941050530.0,83507891.0,0.9925685301173254
bodytrack,ft_x_noci_nndbt_injej_none,,40997443082.0,50067783.0,5766238507.0,7968.814976,3137706264.0,87247754.0,0.9303049351430829
bodytrack,kite_large_noci_nndbt_injej_none,,43345580722.0,53130534.0,5768512477.0,8704.01857,3304002179.0,88010112.0,0.8839893309904939
bodytrack,dbl_bfly_x_noci_nndbt_injej_none,,46004716651.0,54530542.0,5780080028.0,9368.679509,3464768870.0,88896559.0,0.846912301415977
bodytrack,butter_donut_x_noci_nndbt_injej_none,,45276574325.0,53723059.0,5776976193.0,8759.840528,3322381298.0,88082482.0,0.8817322549232423
bodytrack,lpbt_s_latop_noci_nndbt_injej_none,,43046752232.0,50835705.0,5774743785.0,8137.947583,3195551412.0,84090478.0,0.9150187986318759
bodytrack,lpbt_s_power_noci_nndbt_injej_none,,40275811847.0,50601256.0,5761165352.0,7966.393245,3143644508.0,84273063.0,0.9264175696704349
streamcluster,kite_large_noci_nndbt_injej_none,,51699584521.0,72024272.0,4075192703.0,8754.157434,4390396953.0,100521101.0,0.8894306872810704
streamcluster,kite_medium_noci_nndbt_injej_none,,51560145077.0,74793802.0,4057424067.0,7961.965107,4609211546.0,102916354.0,0.8449973313136377
streamcluster,butter_donut_x_noci_nndbt_injej_none,,50804429042.0,86184855.0,4075843492.0,8628.141844,4998948891.0,110852370.0,0.7828216998151682
streamcluster,ft_x_noci_nndbt_injej_none,,51486142400.0,83031380.0,4169105061.0,7950.95484,4936539395.0,107842785.0,0.811171523714303
streamcluster,dbl_bfly_x_noci_nndbt_injej_none,,52890929548.0,75386853.0,4379395832.0,9243.646902,4700681131.0,110965121.0,0.893722314798511
streamcluster,kite_small_noci_nndbt_injej_none,,53542691677.0,86023074.0,4139911618.0,6942.534298,5218523457.0,113525429.0,0.762471758546794
streamcluster,lpbt_s_latop_noci_nndbt_injej_none,,55577818552.0,82951964.0,4443066947.0,7877.833245,5439507966.0,117929271.0,0.7865751330466938
streamcluster,lpbt_m_latop_noci_nndbt_injej_none,,48042484046.0,69216944.0,3802187718.0,8130.446049,4205437495.0,98735353.0,0.865036743735345
streamcluster,lpbt_s_power_noci_nndbt_injej_none,,52797996657.0,69764824.0,4051086936.0,7611.301537,4716264426.0,107958074.0,0.823981565377543
ferret,lpbt_s_power_noci_nndbt_injej_none,,13546560079.0,117481.0,966668706.0,6919.328604,510400799.0,51507828.0,0.42248888503926557
ferret,lpbt_m_latop_noci_nndbt_injej_none,,13869199800.0,128773.0,950726094.0,7331.373451,492747008.0,52734595.0,0.41914576098231066
ferret,kite_small_noci_nndbt_injej_none,,13598989655.0,120176.0,1013015080.0,6600.049629,491003702.0,51707180.0,0.4833510896139742
ferret,kite_medium_noci_nndbt_injej_none,,13699144526.0,124812.0,977508924.0,7269.301444,530472492.0,52087997.0,0.4208540714403946
ferret,lpbt_s_latop_noci_nndbt_injej_none,,13828404292.0,123856.0,991759227.0,6987.206336,521437029.0,52579479.0,0.44351673088422144
ferret,ft_x_noci_nndbt_injej_none,,17603563100.0,153963.0,1084126047.0,7248.572769,599127225.0,66933695.0,0.45486031964940854
ferret,kite_large_noci_nndbt_injej_none,,22778182254.0,197675.0,1051385130.0,7706.64188,568195712.0,86609053.0,0.4398065303763823
ferret,dbl_bfly_x_noci_nndbt_injej_none,,15694902405.0,144058.0,925645041.0,7682.204224,423436771.0,59676430.0,0.40795315817243155
ferret,butter_donut_x_noci_nndbt_injej_none,,13981845593.0,127713.0,959683224.0,7764.573065,514491106.0,53162906.0,0.40412959910747603
freqmine,lpbt_m_latop_noci_nndbt_injej_none,,28137241993.0,206083.0,215927098.0,6996.615155,121108175.0,106985711.0,0.36201022525897114
freqmine,lpbt_s_latop_noci_nndbt_injej_none,,27959371674.0,200577.0,215867590.0,6723.647835,119936067.0,106309398.0,0.371367655415367
freqmine,lpbt_s_power_noci_nndbt_injej_none,,27787475137.0,192687.0,215860338.0,6565.907581,119209776.0,105655799.0,0.37190418326665975
freqmine,kite_small_noci_nndbt_injej_none,,27674838286.0,192931.0,215816530.0,6404.669268,118532883.0,105227522.0,0.37641727940352765
freqmine,kite_medium_noci_nndbt_injej_none,,28362338959.0,201872.0,215966358.0,6909.380493,122004206.0,107841593.0,0.36377924477485934
freqmine,ft_x_noci_nndbt_injej_none,,28456083205.0,209273.0,215974358.0,7020.965302,122435634.0,108198035.0,0.36266236078986314
freqmine,kite_large_noci_nndbt_injej_none,,28546213305.0,213657.0,215990465.0,7035.829041,123095841.0,108540735.0,0.3558155420988362
