bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC,mpki
streamcluster,kite_medium_noci_nndbt_injej_none,,51560145077.0,74793802.0,4057424067.0,7961.965107,4609211546.0,102916354.0,0.8449973313136377,0.1439307502250294
streamcluster,butter_donut_x_noci_nndbt_injej_none,,50804429042.0,86184855.0,4075843492.0,8628.141844,4998948891.0,110852370.0,0.7828216998151682,0.1545248820674232
streamcluster,ft_x_noci_nndbt_injej_none,,51486142400.0,83031380.0,4169105061.0,7950.95484,4936539395.0,107842785.0,0.811171523714303,0.15280084147442957
streamcluster,dbl_bfly_x_noci_nndbt_injej_none,,52890929548.0,75386853.0,4379395832.0,9243.646902,4700681131.0,110965121.0,0.893722314798511,0.1296408715527535
streamcluster,kite_small_noci_nndbt_injej_none,,53542691677.0,86023074.0,4139911618.0,6942.534298,5218523457.0,113525429.0,0.762471758546794,0.17568159415105622
streamcluster,lpbt_s_latop_noci_nndbt_injej_none,,55577818552.0,82951964.0,4443066947.0,7877.833245,5439507966.0,117929271.0,0.7865751330466938,0.16389712610238746
streamcluster,lpbt_m_latop_noci_nndbt_injej_none,,48042484046.0,69216944.0,3802187718.0,8130.446049,4205437495.0,98735353.0,0.865036743735345,0.14425254257019665
streamcluster,lpbt_s_power_noci_nndbt_injej_none,,52797996657.0,69764824.0,4051086936.0,7611.301537,4716264426.0,107958074.0,0.823981565377543,0.15812602516268504
streamcluster,lpbt_s_power_noci_nndbt_picky_none,,50394285802.0,65920896.0,4089534645.0,7029.522622,4388281940.0,101627164.0,0.8941630973266388,0.14906284067669934
streamcluster,lpbt_m_latop_noci_nndbt_picky_none,,50486340273.0,80721813.0,4633371727.0,7373.637219,4843358771.0,112419509.0,0.9271816999703936,0.138507980240552
streamcluster,lpbt_s_latop_noci_nndbt_picky_none,,49824402937.0,70012005.0,3993334351.0,7415.69891,4351469769.0,110071454.0,0.8794686481497083,0.14846520776528174
streamcluster,butter_donut_x_noci_nndbt_picky_none,,49913756398.0,76868421.0,4244266955.0,7757.533922,4631526232.0,107153736.0,0.8806944725566367,0.1400881103808363
streamcluster,dbl_bfly_x_noci_nndbt_picky_none,,53146814346.0,73570289.0,4114757062.0,8085.351585,4517139382.0,106980380.0,0.8738826395065059,0.1409893637536792
streamcluster,ft_x_noci_nndbt_picky_none,,50745845792.0,70552341.0,4172512887.0,7214.95813,4431928778.0,102269573.0,0.9032202732080051,0.14246537381014188
streamcluster,kite_large_noci_nndbt_picky_none,,49106455543.0,73319732.0,4074214792.0,7511.396686,4508766561.0,98888285.0,0.8661882484926388,0.14367497764405376
streamcluster,kite_medium_noci_nndbt_picky_none,,50262877589.0,74361619.0,4222960212.0,7113.244974,4556253027.0,108118726.0,0.8902856909616128,0.1465797142743299
streamcluster,kite_small_noci_nndbt_picky_none,,51812245042.0,76967546.0,4323824567.0,6512.04294,4769768451.0,108260995.0,0.8711361999184641,0.1593391553199933
