bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC,mpki
streamcluster,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,47984876526.0,66391797.0,4024385695.0,7115.338665,4060631788.0,105244796.0,0.9489605894523153,0.138501349782415
streamcluster,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,52436613091.0,76899069.0,4215874307.0,6550.279672,4935194334.0,108684076.0,0.8214985885000592,0.168445402828308
streamcluster,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,49692445054.0,70850715.0,3845453835.0,7041.145373,4308519695.0,111192465.0,0.8552001739635893,0.15881044287520046
streamcluster,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,51395160706.0,77527489.0,4207066593.0,7097.452023,4608483773.0,106970177.0,0.8771400460352968,0.14974946008237972
streamcluster,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,52104756272.0,81961082.0,4290500781.0,6520.78166,4911011316.0,107814098.0,0.8401706567373965,0.16581392160392885
streamcluster,mesh_noci_naive_hops,,56146964491.0,68042710.0,4448982714.0,8667.377202,4793925658.0,101512947.0,0.8892943135895965,0.12633858955258634
swaptions,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,13811248539.0,52514250.0,12007801802.0,7089.57744,3360912046.0,52514250.0,1.711183706827346,0.002665823291480025
swaptions,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,13804643294.0,52489135.0,12014412837.0,7062.224681,3359304657.0,52489135.0,1.714215532769655,0.0026623735286832786
swaptions,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,13771165235.0,52361842.0,12065589431.0,6602.986263,3351157939.0,52361842.0,1.7355165757371573,0.0026411213778080953
swaptions,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,13803721479.0,52485630.0,11997461739.0,7136.444007,3359080371.0,52485630.0,1.7087675558055837,0.002670522004302597
swaptions,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,13813255229.0,52521880.0,12022017454.0,7031.303064,3361400371.0,52521880.0,1.7156465085667036,0.0026590137884254707
swaptions,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,13759979056.0,52319309.0,12062576763.0,6587.69273,3348435822.0,52319309.0,1.7358662379348824,0.0026419971175881025
swaptions,mesh_noci_naive_hops,,14012591608.0,53279813.0,11910110535.0,8446.452924,3409908083.0,53279813.0,1.655393221707216,0.002711388269267756
fluidanimate,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,23092752609.0,70094786.0,10177415388.0,6903.644212,4423718731.0,87281520.0,1.1534432423143521,0.12844620694237538
fluidanimate,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,23025453276.0,70312136.0,10174201065.0,6884.210779,4420729976.0,87397542.0,1.1538323526413676,0.12920812315079414
fluidanimate,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,23233883932.0,69323775.0,10141699999.0,6496.448208,4367822549.0,85750549.0,1.160058408326286,0.12981888792522386
fluidanimate,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,23401464113.0,71483919.0,10216917457.0,6954.229726,4487262248.0,87662808.0,1.1460782405424874,0.13006719637034556
fluidanimate,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,23035604024.0,70045557.0,10163173005.0,6884.951272,4416446342.0,87309908.0,1.1521187362424266,0.1293357999898726
fluidanimate,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,23214367754.0,69045423.0,10158132378.0,6454.728976,4347983868.0,85726074.0,1.1692811735323947,0.12885852035629047
fluidanimate,mesh_noci_naive_hops,,23551974016.0,71734942.0,10180196290.0,8428.762389,4515675327.0,89044309.0,1.1305896963563962,0.12798504205277073
facesim,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22852182827.0,437300.0,3892353987.0,6518.667976,443772293.0,67120746.0,0.8079488890793954,0.31403365437582886
facesim,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22818634021.0,550327.0,3894053893.0,6466.122737,443801356.0,66590074.0,0.8264868670290183,0.3134136096509399
facesim,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22758687379.0,584168.0,3894189258.0,6065.968047,433285095.0,65878997.0,0.8489957929990429,0.312870490673178
facesim,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22926325946.0,475490.0,3894608946.0,6550.619106,445849369.0,67232729.0,0.8241438616776998,0.31268902397796006
facesim,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22739175935.0,500708.0,3894509660.0,6485.981668,444344612.0,66966001.0,0.8329183277211972,0.3127920658854534
facesim,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22340405078.0,378394.0,3892590930.0,6043.409038,431129327.0,66000394.0,0.8279039220580091,0.31387986541621254
facesim,mesh_noci_naive_hops,,24395608584.0,528107.0,3893331738.0,8007.290299,484959511.0,70788579.0,0.726992838677929,0.3128761604054822
raytrace,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,4075855387.0,15463252.0,7005444518.0,5973.432102,827180345.0,15463252.0,1.6457116466959822,0.12313381102684652
raytrace,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,4081714501.0,12767402.0,7004959222.0,5970.054633,826617455.0,15480030.0,1.6464863002644203,0.12307847704376561
raytrace,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,4062510767.0,12575720.0,7004833829.0,5593.80259,815932085.0,15411595.0,1.6670616204053097,0.12321799982254518
raytrace,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,4086130534.0,12811395.0,7005835213.0,6004.888216,829130634.0,15498561.0,1.641938771706341,0.12310717856749874
raytrace,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,4076199391.0,12756563.0,7005463533.0,5948.692059,827898026.0,15462637.0,1.6433140530044383,0.12320307267551081
raytrace,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,4060103002.0,12570433.0,7004979786.0,5617.245671,815521355.0,15401887.0,1.6682324848405305,0.12323345772987686
