bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC,mpki
facesim,ft_x_noci_nndbt_picky_none,,23106174288.0,519644.0,3895700037.0,7192.673512,462280572.0,68699145.0,0.8110833840054477,0.3119840013577629
facesim,kite_large_noci_nndbt_picky_none,,23870164566.0,562357.0,3894555420.0,7666.524521,474795908.0,69678398.0,0.7665392318300687,0.31225176430207063
facesim,kite_medium_noci_nndbt_picky_none,,23073707990.0,471175.0,3892836382.0,7173.45292,460430940.0,68734863.0,0.7597832097773308,0.3134424398719157
facesim,kite_small_noci_nndbt_picky_none,,22527387821.0,487381.0,3893148180.0,6446.616041,440925144.0,67186329.0,0.8277687748861244,0.31258624147079334
facesim,lpbt_m_latop_noci_nndbt_picky_none,,23084257709.0,426654.0,3894586969.0,7328.515718,464726316.0,69632352.0,0.7552991547549194,0.3117419582108835
facesim,lpbt_s_latop_noci_nndbt_picky_none,,23408289226.0,482762.0,3896709781.0,7125.78382,462740388.0,68089240.0,0.7962651677107359,0.3110608693013269
facesim,lpbt_s_power_noci_nndbt_picky_none,,22558150931.0,469788.0,3894711016.0,6823.49922,452607327.0,67210796.0,0.8214052249760494,0.31206989265092167
ferret,butter_donut_x_noci_nndbt_picky_none,,13981845593.0,127713.0,959683224.0,7764.573065,514491106.0,53162906.0,0.40412959910747603,0.30688626800142726
ferret,dbl_bfly_x_noci_nndbt_picky_none,,15694902405.0,144058.0,925645041.0,7682.204224,423436771.0,59676430.0,0.40795315817243155,0.2852021315344193
ferret,ft_x_noci_nndbt_picky_none,,17603563100.0,153963.0,1084126047.0,7248.572769,599127225.0,66933695.0,0.45486031964940854,0.2711568171714885
ferret,kite_large_noci_nndbt_picky_none,,22778182254.0,197675.0,1051385130.0,7706.64188,568195712.0,86609053.0,0.4398065303763823,0.23497537669967863
ferret,kite_medium_noci_nndbt_picky_none,,13699144526.0,124812.0,977508924.0,7269.301444,530472492.0,52087997.0,0.4208540714403946,0.3425328276179041
ferret,kite_small_noci_nndbt_picky_none,,13598989655.0,120176.0,1013015080.0,6600.049629,491003702.0,51707180.0,0.4833510896139742,0.2674778199496112
